Comment,Designator,Footprint,LCSC,Quantity
KEYSW,K_30,MXOnly-1U-Hotswap,,1
KEYSW,K_66,MXOnly-1U-Hotswap,,1
KEYSW,K_64,MXOnly-1U-Hotswap,,1
KEYSW,K_58,MXOnly-1U-Hotswap,,1
KEYSW,K_21,MXOnly-1U-Hotswap,,1
KEYSW,K_43,MXOnly-1U-Hotswap,,1
KEYSW,K_48,MXOnly-1U-Hotswap,,1
KEYSW,K_71,MXOnly-1U-Hotswap,,1
KEYSW,K_40,MXOnly-1U-Hotswap,,1
KEYSW,K_52,MXOnly-1U-Hotswap,,1
KEYSW,K_80,MXOnly-1U-Hotswap,,1
KEYSW,K_F5,MXOnly-1U-Hotswap,,1
KEYSW,K_F2,MXOnly-1U-Hotswap,,1
KEYSW,K_82,MXOnly-1.25U-Hotswap,,1
KEYSW,K_27,MXOnly-1U-Hotswap,,1
KEYSW,K_90,MXOnly-1U-Hotswap,,1
KEYSW,K_51,MXOnly-1U-Hotswap,,1
KEYSW,K_22,MXOnly-1U-Hotswap,,1
KEYSW2,K_26,MXOnly-2U-Hotswap,,1
KEYSW,K_69,MXOnly-1U-Hotswap,,1
KEYSW,K_28,MXOnly-1U-Hotswap,,1
KEYSW,K_F4,MXOnly-1U-Hotswap,,1
KEYSW1.5,K_31,MXOnly-1.5U-Hotswap,,1
KEYSW,K_57,MXOnly-1U-Hotswap,,1
KEYSW,K_50,MXOnly-1U-Hotswap,,1
KEYSW,K_37,MXOnly-1U-Hotswap,,1
KEYSW,K_36,MXOnly-1U-Hotswap,,1
KEYSW,K_F6,MXOnly-1U-Hotswap,,1
KEYSW2.25,K_65,MXOnly-2.25U-Hotswap,,1
KEYSW,K_41,MXOnly-1U-Hotswap,,1
KEYSW,K_55,MXOnly-1U-Hotswap,,1
KEYSW,K_F3,MXOnly-1U-Hotswap,,1
RP2040_Stamp,U1,RP2xxx_Stamp_SMD,,1
5K1,R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
5K1,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
GND,TP4,TestPoint_Pad_D3.0mm,,1
+5V,TP3,TestPoint_Pad_D3.0mm,,1
LED_GND,TP2,TestPoint_Pad_D3.0mm,,1
LED_PWR,TP1,TestPoint_Pad_D3.0mm,,1
